FORCAREI,Pontevedra,36550,42.587824,-8.3511556
FORNELOS DE MONTES,Pontevedra,36847,42.34016,-8.453105
GONDOMAR,Pontevedra,36380,42.110539,-8.761575
LALÍN,Pontevedra,36500,42.6622577,-8.1135592
MARÍN,Pontevedra,36900,42.39270521,-8.698998768
MEAÑO,Pontevedra,36968,42.444278,-8.781778
MEIS,Pontevedra,36637,42.518383,-8.703656
MOAÑA,Pontevedra,36950,42.287143,-8.733637
MONDARIZ,Pontevedra,36870,42.23442617,-8.455398122
MONDARIZ-BALNEARIO,Pontevedra,36890,42.2251824,-8.4704053
MORAÑA,Pontevedra,36660,42.58918933,-8.590798456
MOS,Pontevedra,36416,42.175999,-8.630238
NIGRÁN,Pontevedra,36350,42.141514,-8.806604
O GROVE,Pontevedra,36980,42.49647505,-8.865145523
O PORRIÑO,Pontevedra,36400,42.160874,-8.615277
O ROSAL,Pontevedra,36770,41.93687,-8.8373489
OIA,Pontevedra,36794,42.00209161,-8.87373958
PAZOS DE BORBÉN,Pontevedra,36841,42.29363,-8.528017
POIO,Pontevedra,36994,42.446121,-8.685784
PONTE CALDELAS,Pontevedra,36820,42.3908107,-8.5032039
PONTEAREAS,Pontevedra,36860,42.174514,-8.505405
PONTECESURES,Pontevedra,36640,42.72174,-8.651009
PONTEVEDRA,Pontevedra,36071,42.432019,-8.647815
PORTAS,Pontevedra,36658,42.580539,-8.657189
REDONDELA,Pontevedra,36800,42.283782,-8.609041
RIBADUMIA,Pontevedra,36636,42.50308094,-8.767743266
RODEIRO,Pontevedra,36530,42.648457,-7.944167
SALCEDA DE CASELAS,Pontevedra,36470,42.10221154,-8.557818014
SALVATERRA DE MIÑO,Pontevedra,36450,42.08327922,-8.498224694
SANXENXO,Pontevedra,36960,42.400196,-8.80676
SILLEDA,Pontevedra,36540,42.697553,-8.248115
SOUTOMAIOR,Pontevedra,36691,42.33681389,-8.571930243
TOMIÑO,Pontevedra,36740,41.991323,-8.742945
TUI,Pontevedra,36700,42.102215,-8.557872
VALGA,Pontevedra,36645,42.699605,-8.648566
VIGO,Pontevedra,36202,42.235881,-8.726835
VILA DE CRUCES,Pontevedra,36590,42.79386244,-8.169831115
VILABOA,Pontevedra,36141,42.348217,-8.644532
VILAGARCÍA DE AROUSA,Pontevedra,36600,42.59715874,-8.763693649
VILANOVA DE AROUSA,Pontevedra,36620,42.56202,-8.82668
